slug	title	location	status	progress	area	beds	parking	floors	units	leisure	desc	differentials	prog_terreno	prog_fundacoes	prog_super	prog_alvenaria	prog_instalacoes	prog_acabamento	visible
maranhao	Edifício Maranhão	Rua Maranhão 1427 - Funcionários, Belo Horizonte	Lançamento	36	68m² a 182m²	2 e 3 Quartos	1 e 2 Vagas	9 Andares	19 Unidades	Lazer Completo	O Edifício Maranhão é um dos lançamentos mais exclusivos da CHR. Redefinindo o conceito de morar bem no tradicional bairro Funcionários, este projeto de alto luxo oferece uma estrutura completa de lazer e convivência: espaço gourmet, jogos, fitness, sauna, coworking, terraço e playground, tudo amparado por uma portaria imponente.	19 Unidades | 9 Andares | 2 e 3 Quartos | Espaço Gourmet e Terraço | Espaço Fitness e Sauna | Espaço de Jogos e Playground | Sala de Coworking | Portaria 24h	100	100	15	0	0	0	TRUE
sion-prime	Sion Prime	Rua Laranjal 129 e 139, Bairro Sion, Belo Horizonte	Lançamento	8	57 a 140m²	2 e 3 Quartos	2 Vagas	8 Andares	14 Unidades	Sem Área de Lazer	O Sion Prime foi concebido desde sua origem com foco estratégico em geração de valor imobiliário, combinando arquitetura imponente, implantação qualificada e plantas altamente eficientes, de forma a maximizar o potencial de valorização, liquidez e atratividade comercial ao longo de todo o ciclo do investimento.	14 Unidades | 8 Andares | 2 e 3 Quartos | Localização Estratégica | Área Privativa e Cobertura | Condomínio Econômico | Água e Gás Individualizados | Acabamento de Alto Padrão	50	0	0	0	0	0	TRUE
sao-domingos	Edifício\nE. Pinheiro	Rua São Domingos do Prata, 119 - São Pedro	Em Obras	41	36m² a 160m²	1, 2 e 3 Quartos	1 e 2 Vagas	A Definir	17 Unidades	Sem Área de Lazer	Excelente localização no bairro São Pedro, a poucos metros do Shopping Pátio Savassi e do Colégio Marista. Um projeto que une a praticidade de metragens inteligentes com a exclusividade de poucas unidades, ideal para quem busca morar perto de tudo com conforto e sofisticação.	17 Unidades | 1, 2 e 3 Quartos | Localização Estratégica | Área Privativa e Cobertura | Condomínio Econômico | Água e Gás Individualizados | Acabamento de Alto Padrão | Próximo ao Pátio Savassi	100	100	30	15	0	0	TRUE
j-silva	Edifício J. Silva	Rua Teixeira Magalhães, 130 - Floresta	Lançamento	0	59m² a 124m²	2 Quartos	2 Vagas	5 Andares	11 Unidades	Sem Área de Lazer	Uma joia no bairro Floresta, situada na Rua Teixeira Magalhães. O Edifício J. Silva oferece uma localização estratégica central, cercada por uma infraestrutura completa com mercados, escolas, bancos e centros comerciais. Viva a conveniência de estar a poucos passos de tudo o que você precisa, unida ao conforto de um projeto moderno e exclusivo.	11 Unidades | 5 Andares | 2 Quartos | Localização Estratégica | Área Privativa e Cobertura | Condomínio Econômico | Água e Gás Individualizados | Acabamento de Alto Padrão	0	0	0	0	0	0	TRUE
m-faria	Edifício\nM. Faria	Rua Itajubá, 108 - Floresta	Lançamento	0	36m² a 90m²	1 Quarto	1 Vaga	5 Andares	16 Unidades	Sem Área de Lazer	Oportunidade perfeita para jovens profissionais e investidores graças à localização estratégica do Floresta, ao lado do hipercentro. Com infraestrutura consolidada de comércio, cultura e ruas arborizadas, o edifício é um ativo inteligente e moderno, com alta liquidez para locação tradicional ou mid-stay corporativo.	16 Unidades | 5 Andares | 1 Quarto | Localização Estratégica | Área Privativa e Cobertura | Condomínio Econômico | Água e Gás Individualizados | Acabamento de Alto Padrão	0	0	0	0	0	0	TRUE
silva-jardim	Edifício Silva Jardim	Rua Silva Jardim, 192 - Floresta	Lançamento	0	60m² a 191m²	2 a 4 Quartos	2 Vagas	5 Andares	8 Unidades	Sem Área de Lazer	Viver no Edifício Silva Jardim é desfrutar de uma localização privilegiada e estratégica, a poucos passos de todo o comércio e conveniências do bairro Floresta, com acesso rápido a qualquer ponto da cidade. É sinônimo de qualidade de vida urbana em meio a calçadas arborizadas e áreas verdes. Uma oportunidade de manter o contato com a natureza e garantir mais bem-estar no coração da metrópole, sem abrir mão do conforto e da praticidade.	8 Unidades | 5 Andares | 2 a 4 Quartos | Localização Estratégica | Área Privativa e Cobertura | Condomínio Econômico | Água e Gás Individualizados | Acabamento de Alto Padrão	0	0	0	0	0	0	TRUE
studio-aimores	Studio\nAimorés	Rua Aimorés - Funcionários	Em Obras	0	A Definir	Studio	A Definir	A Definir	A Definir	A Definir	Lançamento exclusivo no coração do bairro Funcionários. O Studio Aimorés une design contemporâneo à praticidade urbana, oferecendo um estilo de vida dinâmico em uma das localizações mais nobres de Belo Horizonte. Ideal para quem busca liquidez, modernidade e estar perto de tudo.	Localização Estratégica | Studio Inteligente | Área Privativa e Cobertura | Condomínio Econômico | Água e Gás Individualizados | Acabamento de Alto Padrão | Design Contemporâneo | No Coração do Funcionários	0	0	0	0	0	0	TRUE
major-lopes	Edifício\nF. Duarte Vidigal	Rua Major Lopes, 142 - São Pedro	Em Obras	46	34m² a 61m²	1 Quarto	1 Vaga	A Definir	A Definir	Sem Área de Lazer	Uma nova referência de sofisticação no coração do bairro São Pedro. O Edifício Feliciano Duarte Vidigal traz a exclusividade de um projeto moderno em uma localização estratégica, próximo a toda a conveniência e charme da Rua Major Lopes.	Localização Estratégica | 1 Quarto | Cobertura | Condomínio Econômico | Água e Gás Individualizados | Acabamento de Alto Padrão | Design Moderno | No Coração do São Pedro	100	100	75	0	0	0	TRUE
mar-de-espanha	Edifício\nMar de Espanha	Rua Mar de Espanha, 422 - Santo Antônio	Em Obras	92	60m² a 127,50m²	2 Quartos	2 Vagas	4 Andares	A Definir	Espaço Gourmet	O Edifício Mar de Espanha destaca-se pela sua arquitetura imponente com detalhes em madeira no bairro Santo Antônio. Com apartamentos de 2 quartos e 60m², oferece o equilíbrio perfeito entre elegância, conforto e uma vida urbana prática em uma localização residencial nobre.	Localização Nobre no Santo Antônio | Apartamentos de 2 Quartos | Espaço Gourmet | Acabamento de Alto Padrão | Condomínio Econômico | Água e Gás Individualizados | Próximo a Restaurantes e Comércio | Fachada Moderna com Detalhes em Madeira	100	100	100	100	80	70	TRUE
stela-de-souza	Studio\nStela de Souza	Rua Stela de Souza, 107 - Sagrada Família	Em Obras	83	37m² a 55m²	1 Quarto	1 Vaga	5 Andares	15 Unidades	Sem Área de Lazer	Exclusividade e modernidade no bairro Sagrada Família. O Studio Stela de Souza oferece o equilíbrio perfeito entre design contemporâneo e funcionalidade, com plantas inteligentes de 37 a 55m². Um projeto pensado para quem busca praticidade em uma localização residencial consolidada.	Localização Residencial Nobre | Plantas Inteligentes | 1 Quarto com Vaga | Condomínio Econômico | Água e Gás Individualizados | Acabamento de Alto Padrão | Apenas 15 Unidades | Arquitetura Moderna	100	100	100	100	50	50	TRUE
